 2.50  2600.  0.0  2.0   0.8989   0.8646   0.3215 q PD
 3.00  2600.  0.0  2.0   0.8455   0.7888   0.3988 q PD
 3.50  2600.  0.0  2.0   0.8183   0.7469   0.4408 q PD
 4.00  2600.  0.0  2.0   0.8224   0.7473   0.4213 q PD
 4.50  2600.  0.0  2.0   0.8323   0.7602   0.3803 q PD
 5.00  2600.  0.0  2.0   0.8414   0.7788   0.3196 q PD
 5.50  2600.  0.0  2.0   0.8385   0.7813   0.2881 q PD
 2.50  2700.  0.0  2.0   0.8694   0.8350   0.3527 q PD
 3.00  2700.  0.0  2.0   0.8340   0.7769   0.4130 q PD
 3.50  2700.  0.0  2.0   0.7900   0.7127   0.4925 q PD
 4.00  2700.  0.0  2.0   0.7815   0.6947   0.5078 q PD
 4.50  2700.  0.0  2.0   0.7930   0.7055   0.4794 q PD
 5.00  2700.  0.0  2.0   0.8033   0.7219   0.4309 q PD
 5.50  2700.  0.0  2.0   0.8146   0.7452   0.3603 q PD
 2.50  2800.  0.0  2.0   0.8438   0.8118   0.3771 q PD
 3.00  2800.  0.0  2.0   0.8163   0.7610   0.4235 q PD
 3.50  2800.  0.0  2.0   0.7597   0.6826   0.5170 q PD
 4.00  2800.  0.0  2.0   0.7382   0.6478   0.5556 q PD
 4.50  2800.  0.0  2.0   0.7472   0.6517   0.5480 q PD
 5.00  2800.  0.0  2.0   0.7622   0.6690   0.5103 q PD
 5.50  2800.  0.0  2.0   0.7840   0.7014   0.4366 q PD
 2.50  2900.  0.0  2.0   0.8173   0.7899   0.3953 q PD
 3.00  2900.  0.0  2.0   0.7892   0.7376   0.4353 q PD
 3.50  2900.  0.0  2.0   0.7425   0.6689   0.5167 q PD
 4.00  2900.  0.0  2.0   0.7105   0.6224   0.5659 q PD
 4.50  2900.  0.0  2.0   0.6968   0.6007   0.5817 q PD
 5.00  2900.  0.0  2.0   0.7138   0.6141   0.5701 q PD
 5.50  2900.  0.0  2.0   0.7413   0.6484   0.5040 q PD
 2.50  3000.  0.0  2.0   0.7894   0.7734   0.3918 q PD
 3.00  3000.  0.0  2.0   0.7543   0.7129   0.4304 q PD
 3.50  3000.  0.0  2.0   0.7229   0.6555   0.5041 q PD
 4.00  3000.  0.0  2.0   0.6786   0.5942   0.5558 q PD
 4.50  3000.  0.0  2.0   0.6699   0.5754   0.5840 q PD
 5.00  3000.  0.0  2.0   0.6660   0.5649   0.5996 q PD
 5.50  3000.  0.0  2.0   0.6940   0.5936   0.5624 q PD
